dilution,count
1333,70
1333,169
1333,23
1333,27
1333,102
1333,31
1333,23
1333,149
1333,16
1333,259
1333,83
1333,6
1333,311
1333,99
1333,19
2000,93
2000,9
2000,249
2000,10
2000,152
2000,37
2000,585
2000,10
2000,129
2000,86
2000,28
2000,49
2000,14
2000,35
2000,171
263,0
263,0
263,3
263,0
263,1
263,1
263,1
263,0
263,1
263,0
263,0
263,0
263,1
263,2
263,1
395,928
395,0
395,11
395,1
395,4
395,9
395,1
395,2
395,3898
395,1
395,18
395,0
395,549
395,2
395,7
593,1
593,3
593,3
593,7
593,3
593,1
593,296
593,2
593,5
593,227
593,3
593,2
593,4
593,0
593,1
889,3
889,112
889,161
889,48
889,13
889,23
889,587
889,7
889,18
889,0
889,1
889,26
889,20
889,2
889,0
